"","Year","Expenditure.Housing_tmean","Expenditure.Housing_median","Expenditure.Health_tmean","Expenditure.Health_median","Expenditure.Transport_tmean","Expenditure.Transport_median","Expenditure.Comms.Mobile.Phone_tmean","Expenditure.Comms.Mobile.Phone_median","Expenditure.Council.Tax_tmean","Expenditure.Council.Tax_median","Expenditure.Mortgage_tmean","Expenditure.Mortgage_median","Expenditure.Rent_tmean","Expenditure.Rent_median","Expenditure.Rent.Net_tmean","Expenditure.Rent.Net_median","Expenditure.Others_tmean","Expenditure.Others_median","Expenditure.Utilities_tmean","Expenditure.Utilities_median","Expenditure.Food.House.Keeping_tmean","Expenditure.Food.House.Keeping_median","Expenditure.Personal.Cost_tmean","Expenditure.Personal.Cost_median","Expenditure.Leisure.Cost_tmean","Expenditure.Leisure.Cost_median","Expenditure.Water_tmean","Expenditure.Water_median","Expenditure.Council.Tax.Support_tmean","Expenditure.Council.Tax.Support_median","Expenditure.Vehicle.Insurance_tmean","Expenditure.Vehicle.Insurance_median","Expenditure.Utilities.MART_tmean","Expenditure.Utilities.MART_median","Expenditure.Food.House.Keeping.MART_tmean","Expenditure.Food.House.Keeping.MART_median","Expenditure.Personal.MART_tmean","Expenditure.Personal.MART_median","Expenditure.Leisure.MART_tmean","Expenditure.Leisure.MART_median","Expenditure.Total.Essential.Flexible.MART_tmean","Expenditure.Total.Essential.Flexible.MART_median","Expenditure.Total.Essential.Fixed.LCFS_tmean","Expenditure.Total.Essential.Fixed.LCFS_median","Expenditure.Housing.LCFS_tmean","Expenditure.Housing.LCFS_median","Expenditure.Total.Essential.LCFS.MART_tmean","Expenditure.Total.Essential.LCFS.MART_median","Expenditure.Total.Essential.Flexible.LCFS_tmean","Expenditure.Total.Essential.Flexible.LCFS_median"
"1","2020-21",80.2318106662155,41.72,6.73190075474268,0.29,61.6722911256806,24.53,20.9631827489368,18,28.2468210288692,28.2178280608432,52.789190282346,0,49.8094056683204,0,39.8887290565057,0,6.82325953439826,2.88,21.7767853841478,19.62,83.4817758987781,72.33,14.3165411208559,0,41.7567664899714,10.8,8.10499672090409,7.49,2.2161953166478,0,11.2210355089388,8.33,19.572356345618,19.6153846153846,72.0813477055982,68.5776923076923,10.0475212417982,8.84538461538462,4.54533613573919,3.34615384615385,106.246561428754,98.4069230769231,257.458456141189,211.954779743762,133.021000948561,106.93,363.705017569943,318.995648221336,161.331868893753,124.4
"2","2021-22",82.9516996338458,45.42,9.22946529530122,0.425,73.8489911165389,36.165,21.2569731198706,17.54,29.0312813267984,29.3615570279605,52.9289151598706,0,49.8956790911487,0,41.9635092543014,0,7.3615946419682,2.98,24.2244136627151,21.62,74.1624594231745,64.665,17.5172839901492,2.495,57.5344073950445,18.27,8.4803010285579,7.84,2.41519966141792,0,10.4760729422973,8.03,30.2589449914597,29.2307692269231,71.8304141513716,69,9.92813920831603,8.07692307692308,6.5654002336789,4.26923076923077,109.546022749032,102.807692307692,276.608920294194,234.463477732151,135.880614793716,111.61,386.154943043226,344.050104771704,173.438564471083,132.17
"3","2021-22P",82.8445824210123,42.84756,6.85008850527023,0.29464,67.5854032377296,26.925,21.2681590526729,18.31424,29.376693870024,29.346541183277,52.9667807030465,0,50.7039765089125,0,40.6048552699017,0,6.86085637731868,2.91207,25.4766504397823,22.72238,85.4042043500785,73.724455,14.7540029650633,0,42.8402883441987,10.95885,8.24278166515946,7.61733,2.30484312931371,0,11.2291571269208,8.29587,21.0491227622416,21.9230769230769,71.1718820166573,69,9.8350098738707,8.07692307692308,7.80828962546615,6.11538461538461,108.470067777613,102.807692307692,267.752564167074,219.918372663497,135.811363124059,109.50901,376.222631944687,328.742377875775,168.475146099123,131.21085
"4","2022-23",87.9212087458965,48.15004,9.58345572827784,0.43095,80.4545736864543,39.57268,21.8691859995339,18.03837,30.0473761732363,30.3892115239391,58.9642849813902,0,51.9348537296019,0,43.685419213192,0,7.71382652826501,3.15284,43.5262825578983,38.7536,81.1952017486036,70.7846,18.8039021884723,2.655,60.4518852277948,19.204965,8.8025524676431,8.13792,2.49973164956755,0,12.0579375125703,9.22918,30.2589449914597,29.2307692269231,74.9232907252525,69.9999999923077,9.02043697650707,7.5,7.86138415950607,6.11538461538461,122.064056852725,112.194615387692,296.553911843054,249.766806339661,146.885493727287,120.28055,418.617968695779,371.13501505773,203.977271722769,159.48062
"5","2022-23P",87.8109702508152,45.4652541,7.14364022457449,0.30817488,73.4995925044167,28.93194,21.8815954515601,18.82938972,30.4048781554749,30.3736701246916,59.1177832701106,0,52.7514394270911,0,42.2396901396675,0,7.18730861583755,3.07042848,45.8241348350394,40.99451136,93.5231684927653,80.95923225,15.8294626284452,0,45.0586656199528,11.5668,8.55600736843552,7.90678854,2.38551263883969,0,12.9225230429673,9.52623824,29.9871138772794,27.8076923076923,74.2105147718682,69.2307692307692,8.95920950894299,7.5,7.80828962546615,6.11538461538461,120.965127783557,112.153846153846,279.074114291332,229.1601424,146.928753520926,117.9908392,400.039242074889,348.899018515141,200.235431576203,160.27420538
"6","2023-24",91.9395500196692,50.4846407,10.3675013435341,0.46930455,80.6374019689662,39.604539645,23.6625162970504,19.50362901,31.5797923580714,31.93906131166,72.112437868595,0,55.1609794661532,0,46.4023447760235,0,8.15561483056323,3.320109,47.5470909759942,42.130935,91.1091318688765,79.37010972,20.1037754839151,2.838195,64.1546599779463,20.3941138,9.31025215391786,8.574753996,2.62721796369549,0,14.5767508335498,11.1378873,32.6735344393483,33.5192307692308,79.3137272792834,75,10.9520029264013,9.23076923076923,9.45234798536254,7.15384615384615,132.391612630396,129.613076930769,318.454814686449,264.203721324371,164.051987888264,131.4838836,450.898729058308,399.097806836944,222.914658306732,176.58252156
"7","2023-24P",91.8087914094031,47.691847021,7.73319897326153,0.33344522016,73.6567220748413,28.9225170696,23.6898466875189,20.4452849664,31.9555269414041,31.9227273010509,72.3668530210797,0,56.0067623592924,0,44.845009124184,0,7.59906214135291,3.2406184512,50.0659828733645,44.8938555494,95.4361238980782,82.53391205808,16.9264348236965,0,47.83633078771,12.279598461,9.04339724387611,8.319975773922,2.50717378342051,0,15.6303595681856,11.55532698512,32.3434885913798,33.5192307692308,78.2222050764051,73.8461538461538,10.8725798740953,9.23076923076923,9.38346540408232,7.15384615384615,130.821738945962,127.813076930769,308.810001248861,249.084009593213,164.175644430483,127.93714579008,439.599677851704,379.500046332466,210.264872382849,168.26624406885
