"","Financial.Year","Demographic.Negbud","n","mean_surplus","median_surplus","per_n","total_debt_mean","total_debt_median"
"1","2023-24","Negative.Budget",3944.17873216631,-137.672439933848,-81.9189698147031,0.0787238795671371,-14145272684.8853,-8416834674.03247
"2","2023-24","Positive.Budget",46157.2486092371,515.084493053939,403.309544554033,0.921276120432863,619335702167.024,484937914721.649
