"","Year","Demographic.UC","Expenditure.Housing_tmean","Expenditure.Housing_median","Expenditure.Health_tmean","Expenditure.Health_median","Expenditure.Transport_tmean","Expenditure.Transport_median","Expenditure.Comms.Mobile.Phone_tmean","Expenditure.Comms.Mobile.Phone_median","Expenditure.Council.Tax_tmean","Expenditure.Council.Tax_median","Expenditure.Mortgage_tmean","Expenditure.Mortgage_median","Expenditure.Rent_tmean","Expenditure.Rent_median","Expenditure.Rent.Net_tmean","Expenditure.Rent.Net_median","Expenditure.Others_tmean","Expenditure.Others_median","Expenditure.Utilities_tmean","Expenditure.Utilities_median","Expenditure.Food.House.Keeping_tmean","Expenditure.Food.House.Keeping_median","Expenditure.Personal.Cost_tmean","Expenditure.Personal.Cost_median","Expenditure.Leisure.Cost_tmean","Expenditure.Leisure.Cost_median","Expenditure.Water_tmean","Expenditure.Water_median","Expenditure.Council.Tax.Support_tmean","Expenditure.Council.Tax.Support_median","Expenditure.Vehicle.Insurance_tmean","Expenditure.Vehicle.Insurance_median","Expenditure.Utilities.MART_tmean","Expenditure.Utilities.MART_median","Expenditure.Food.House.Keeping.MART_tmean","Expenditure.Food.House.Keeping.MART_median","Expenditure.Personal.MART_tmean","Expenditure.Personal.MART_median","Expenditure.Leisure.MART_tmean","Expenditure.Leisure.MART_median","Expenditure.Total.Essential.Flexible.MART_tmean","Expenditure.Total.Essential.Flexible.MART_median","Expenditure.Total.Essential.Fixed.LCFS_tmean","Expenditure.Total.Essential.Fixed.LCFS_median","Expenditure.Housing.LCFS_tmean","Expenditure.Housing.LCFS_median","Expenditure.Total.Essential.LCFS.MART_tmean","Expenditure.Total.Essential.LCFS.MART_median","Expenditure.Total.Essential.Flexible.LCFS_tmean","Expenditure.Total.Essential.Flexible.LCFS_median"
"1","2020-21","Non.UC",76.5000805998805,39.73,6.88223721306274,0.3,63.9259522965081,25.94,21.0371465033447,18.17,29.2706327325475,28.9191818648298,25.2495900680603,0,45.2828963228136,0,35.8385930880917,0,7.05232203082991,2.93,22.1009995989004,19.85,84.1580162596244,72.815,14.1579445799362,0,44.1762657913377,11.66,8.10671096582405,7.44,1.72633170964715,0,11.3563859267536,8.54,19.4512214548129,19.5,71.3615566315565,66.6392307692308,9.82128161922092,8.84538461538462,4.36106077611025,3.34615384615385,104.995120481701,98.4069230769231,229.917961444234,192.330242471827,101.749670667941,72.12,334.913081925934,299.707151698111,164.593226229799,127.13
"2","2020-21","UC",122.030295431435,121.75,5.0480072117888,0,36.4294090199783,12.515,20.134727097847,16.27,16.7792772521356,18.5247316409439,6.26075608094715,0,100.510080303023,100,85.253625113707,93.47,4.25756879654049,1.96,18.1453161526896,16.44,75.9073206412941,65.435,16.0929544684474,0,14.6563592016856,5.11,8.08579575006826,7.58,7.70307570463943,0,9.70499810097295,5.77,20.9291680114807,23.0769230769231,80.1436072226752,76.9223076923077,12.5815934414179,11.5384615384615,6.60937363982916,4.73076923076923,120.263742315403,118.756153846154,210.940040890673,184.599567294352,128.291051512383,123.62,331.203783206076,311.935406204659,124.801950464117,101.42
"3","2021-22P","Non.UC",78.9815735237563,41.0488,7.00208674401016,0.3045,70.0478907019044,28.14,21.3448535491074,18.44876,30.4414580418494,30.075949139423,26.1082823731719,0,46.0936408275093,0,36.4782544589128,0,7.14241325883759,2.9593,25.836827262881,23.09868,86.0859547758063,74.4702,14.5999100577887,0,45.3134606987875,12.05097,8.24452505224306,7.56648,1.79538497803303,0,11.3597019108079,8.45064,20.9072195195721,20.7692307692308,70.2802068251185,66.1546153846154,9.60609305617503,7.5,7.55592227307966,6,106.92752054785,100.617692307692,240.406944799165,199.576614269366,105.089855896928,74.342880097456,347.334465347015,309.715418206161,171.836152795264,133.24338
"4","2021-22P","UC",126.113499429911,125.05042,5.14758163757741,0,40.0034927227109,13.9125,20.4091168165495,16.49466,17.450448342221,19.2657209065817,6.48464663206517,0,102.343575921562,101.5943,86.8262212487288,94.9452,4.31272692692988,1.9796,21.4423700428988,19.42261,77.7680317767906,68.155425,16.4799718649174,0,15.1386981574875,5.27863,8.22325427781943,7.70886,8.01119873282501,0,9.76694682138129,5.80752,22.6385572661904,23.0769230769231,81.1593868057338,73.8461538461538,12.3990688885551,11.5384615384615,10.6350141597853,8.7200000076923,125.747881482453,120.212307692308,219.757184230739,191.7873,132.598146061977,128.4088,345.505065713193,322.230956043462,130.829071842094,107.53382
"5","2022-23P","Non.UC",83.7207321244512,43.5189216,7.29810073850158,0.323843625,76.1749934266047,30.9321516,21.9601891918494,18.9475328,31.5069090733142,31.1286073593028,26.1082823731719,0,47.9479544824125,0,37.9373010478547,0,7.48046661788728,3.13134624,46.4412366955579,41.24815864,94.2397526979153,81.538237,15.661202235278,0,47.6635452414012,12.5983416,8.55781700422829,7.85400624,1.85822345226419,0,13.0692838425814,9.76242048,29.7040039069878,27.8076923076923,73.3764219468019,69.2307692307692,8.76441093675289,7.5,7.55592227307966,6,119.400759063622,112.038461535346,246.007188151946,204.783343641559,109.829014497623,77.6165728,365.407947215568,325.627187934385,204.005736870152,163.477621915
"6","2022-23P","UC",133.625043876686,132.30292481,5.41355382404603,0,43.5328739317739,15.47349594,21.0012801024507,17.01950632,18.0612140341987,19.940021138312,6.48464663206517,0,106.554471455423,106.19255592,90.4300312713891,98.87148711,4.52654345733519,2.07858,38.9120800355326,34.51062195,85.4968285781598,73.92793952,17.7141191698797,0,15.8818443502212,5.55839739,8.53573794037656,8.00179668,8.29159068847388,0,11.2786798555565,6.9980616,33.1581813365445,35.0007692307692,83.5530490981932,77.7692307692308,11.1411157581191,10.3846153846154,10.6350141597853,8.7200000076923,138.487360352642,132.192307693846,227.707036821184,199.317594782526,140.109690508751,135.9879456,366.194397173826,344.869219469598,158.004872133793,137.230797745
"7","2023-24P","Non.UC",87.5419229258635,45.42265166715,7.9005752885226,0.35039880225,76.3447189886469,30.88326006,23.7752746579479,20.53206320256,33.1137614360532,32.7161663346273,27.3562582706095,0,50.903537336745,0,40.2727043442673,0,7.90988596303262,3.29730759072,50.7963019451989,45.11940251832,96.194755906545,83.39155645392,16.746870672677,0,50.6026037649076,13.354242096,9.04956427351949,8.319975773922,1.95299284832966,0,15.8053565772625,11.81655113239,32.0276952808967,33.5192307692308,77.5170530733819,73.8461538461538,10.6978379403383,9.23076923076923,9.07951075251227,7.15384615384615,129.322097047129,127.813076930769,263.942397530676,219.642501931481,114.898181196473,80.9301452868,393.274355249596,349.123572844648,214.340532289328,171.720368142938
"8","2023-24P","UC",139.601272144641,139.0131377705,5.85844484069121,0,43.5489179053383,15.1640260212,22.7329822688639,18.36404731928,18.9823359499429,20.9569622163659,6.79461274107788,0,113.167132902365,112.98887949888,96.0586307656292,105.19926228504,4.78092059579166,2.18874474,41.8858010126225,36.8740271025,86.9388135662378,75.132981,18.937702867566,0,16.8517695149304,5.8919012334,8.97432137557548,8.34969537576,8.71446181358605,0,13.6702473178796,8.4886487208,35.8786793548349,38.7692307692308,86.1161241847796,80.0000000076923,12.8287519958573,11.5384615384615,12.7861267052218,11.5384615384615,147.609682240694,139.42115385,242.299486446347,210.76402593624,146.395884885719,141.627672472542,389.909168687041,361.844501494988,164.614086961357,141.6581174978
